Open,High,Low,Close,Volume
1.22395,1.22398,1.2228,1.22341,521
1.22336,1.22528,1.22304,1.22501,3052
1.22501,1.22501,1.22386,1.22407,3534
1.22407,1.22557,1.22398,1.22526,3564
1.22526,1.22585,1.22495,1.22538,3348
1.22539,1.22578,1.22485,1.2255,2183
1.2255,1.22552,1.22435,1.22489,1687
1.22489,1.22591,1.22413,1.2255,2165
1.22549,1.22577,1.2242,1.22561,2493
1.2256,1.22689,1.22538,1.22639,3275
1.22639,1.22861,1.22619,1.22812,4443
1.22812,1.23004,1.22789,1.22932,3958
1.22932,1.23001,1.22898,1.22923,3337
1.22925,1.22994,1.22913,1.22931,3391
1.22931,1.2306,1.22869,1.23032,4213
1.23034,1.23049,1.22863,1.22988,5394
1.2299,1.23098,1.22836,1.22892,7016
1.22892,1.22908,1.22605,1.22719,6988
1.22715,1.22775,1.22525,1.22535,6306
1.22537,1.22613,1.225,1.22529,5270
1.22529,1.22568,1.22426,1.22511,3105
1.22511,1.22526,1.2244,1.22521,2325
1.22521,1.22524,1.22416,1.22493,2483
1.22493,1.22525,1.22419,1.22473,1569
1.22466,1.22518,1.22432,1.22504,402
1.22504,1.22535,1.22472,1.22526,1568
1.22526,1.2257,1.22472,1.22557,2166
1.22557,1.22632,1.2255,1.22572,2120
1.22572,1.2273,1.22569,1.22705,2018
1.22705,1.22768,1.22675,1.22728,2135
1.22728,1.22728,1.22661,1.22691,1532
1.22691,1.22735,1.22673,1.22723,1992
1.22724,1.22745,1.22667,1.22696,2154
1.22696,1.2271,1.22551,1.22582,3798
1.22582,1.22786,1.22581,1.22739,5257
1.22741,1.22839,1.22685,1.22723,3581
1.22724,1.22842,1.22716,1.22771,3226
1.22772,1.22906,1.22766,1.22829,3029
1.22829,1.22846,1.2266,1.22727,4366
1.22727,1.2276,1.22605,1.22626,4836
1.22626,1.22786,1.22592,1.22642,5265
1.22643,1.22824,1.2254,1.22754,7335
1.22754,1.22963,1.22731,1.22944,5809
1.22944,1.23051,1.22927,1.22994,4665
1.22991,1.23047,1.22925,1.22932,2708
1.22932,1.23038,1.22896,1.23033,2382
1.23033,1.23056,1.22927,1.22936,2055
1.22936,1.22991,1.22895,1.22965,981
1.22968,1.23018,1.22915,1.22964,473
1.22963,1.23016,1.22945,1.22988,1780
1.22985,1.23261,1.22919,1.23091,4443
1.23091,1.23154,1.22811,1.22892,8762
1.22893,1.22938,1.22768,1.22789,4835
1.22788,1.2295,1.22757,1.22859,4294
1.22857,1.23065,1.22836,1.22918,4626
1.22918,1.23059,1.22916,1.22967,2593
1.22966,1.23215,1.22965,1.23166,2950
1.23166,1.23455,1.23124,1.23395,6738
1.23396,1.23405,1.23222,1.23247,6416
1.23247,1.23388,1.23208,1.23382,5476
1.23383,1.23442,1.2333,1.23381,4389
1.23382,1.23491,1.23336,1.23376,4587
